domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_num CRR125950_0.90.bracken_num CRR125950_0.95.bracken_num CRR125950_0.99.bracken_num CRR125950_0.bracken_num CRR125950_1.bracken_num 
Bacteria Cyanobacteria NA Oscillatoriales Oscillatoriaceae Oscillatoria Oscillatoria nigro-viridis 482564 	S 0.00022 0.00004 0.00005 0.00007 0.00014 0.00008 
Bacteria Proteobacteria Gammaproteobacteria Vibrionales Vibrionaceae Vibrio Vibrio tubiashii 29498 	S 0.00024 0.00075 0.00076 0.00065 0.00005 0.00053 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium sp. 6(2017) 	1197460 12 0 0 0 192 0 
Eukaryota Euglenozoa Kinetoplastea Trypanosomatida Trypanosomatidae Leishmania Leishmania mexicana 5665 	S 0.00005 0.00000 0.00000 0.00000 0.00007 0.00000 
Eukaryota Euglenozoa Kinetoplastea Trypanosomatida Trypanosomatidae Leishmania Leishmania major 5664 	S 0.00003 0.00004 0.00005 0.00007 0.00005 0.00008 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Chryseobacterium Chryseobacterium indologenes 253 	S 0.00139 0.00075 0.00045 0.00050 0.00026 0.00053 
Bacteria Spirochaetes Spirochaetia Leptospirales Leptospiraceae Leptospira Leptospira borgpetersenii 174 	S 0.00005 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae Fusobacterium Fusobacterium varium 856 	S 0.00044 0.00031 0.00005 0.00007 0.00007 0.00008 
Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Neisseria Neisseria flavescens 484 	S 0.00280 0.00000 0.00000 0.00000 0.00272 0.00000 
Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Pauljensenia Pauljensenia hongkongensis 178339 	S 0.01023 0.00000 0.00000 0.00000 0.00458 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus thuringiensis 1428 	S 0.00571 0.01463 0.01793 0.02491 0.00115 0.02893 
Bacteria Proteobacteria Oligoflexia Silvanigrellales NA NA Silvanigrellales bacterium RF1110005 	2493639 1 1 1 1 3 1 
Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae Paenibacillus Paenibacillus mucilaginosus 61624 	S 0.00005 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Oceanospirillales Halomonadaceae Candidatus Carsonella Candidatus Carsonella 	ruddii S 0.00005 0.00000 0.00000 0.00000 0.00070 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae Aggregatibacter Aggregatibacter segnis 739 	S 0.00052 0.00000 0.00000 0.00000 0.00031 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae Escherichia Escherichia coli 562 	S 0.02407 0.05611 0.07598 0.13864 0.05668 0.17345 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Alcaligenaceae Bordetella Bordetella genomosp. 13 	463040 46 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces sp. GY16 	2653200 3 2 2 1 1 1 
Viruses Artverviricota Revtraviricetes Ortervirales Retroviridae Lentivirus Equine infectious anemia 	virus S 0.00022 0.00008 0.00005 0.00007 0.00019 0.00008 
Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae Haemophilus Haemophilus haemolyticus 726 	S 0.00024 0.00000 0.00000 0.00000 0.00068 0.00000 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Alcaligenaceae Achromobacter Achromobacter xylosoxidans 85698 	S 0.00087 0.00000 0.00000 0.00000 0.00019 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium gilvum 1492737 	S 0.00087 0.00008 0.00010 0.00007 0.00002 0.00008 
Eukaryota Ascomycota Sordariomycetes Hypocreales Nectriaceae Fusarium Fusarium graminearum 5518 	S 0.00054 0.00000 0.00000 0.00000 0.00033 0.00000 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae Cupriavidus Cupriavidus oxalaticus 96344 	S 0.00033 0.00000 0.00000 0.00000 0.00002 0.00000 
Eukaryota Ascomycota Dothideomycetes Mycosphaerellales Mycosphaerellaceae Zymoseptoria Zymoseptoria tritici 1047171 	S 0.00068 0.00000 0.00000 0.00000 0.00298 0.00000 
