feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X768507	COVID19	TRUE	0.59585073583597	0.308035115702307	86	49	0.0614762694322839	0.387880994636157
X2584122	COVID19	TRUE	-1.95033223915682	0.960383627342692	86	16	0.0618007454766204	0.387880994636157
X1398	COVID19	TRUE	1.2449134376176	0.621977802998196	86	31	0.0658035481756973	0.407640162075424
X225991	COVID19	TRUE	1.05203494139356	0.555012196135047	86	31	0.0680304070946791	0.416032104925153
X592316	COVID19	TRUE	1.08848494162388	0.57948811071151	86	34	0.0719030796232541	0.430558340521016
X663365	COVID19	TRUE	-1.14550295027443	0.607936635809164	86	28	0.0722110424353906	0.430558340521016
X730	COVID19	TRUE	-1.4129421592555	0.755544071728228	86	25	0.075840921026397	0.446618757155449
X29385	COVID19	TRUE	1.21842668950172	0.661782641860249	86	25	0.0823569021587101	0.447501737470376
X29494	COVID19	TRUE	1.19868327110755	0.652860552793403	86	35	0.078459761064211	0.447501737470376
X291112	COVID19	TRUE	-1.65561875235988	0.906745393152211	86	25	0.0814713848455962	0.447501737470376
X525919	COVID19	TRUE	-0.953066533214158	0.533580539291992	86	44	0.0825579725312223	0.447501737470376
X536227	COVID19	TRUE	1.75587797623699	0.813050271440857	86	25	0.0813431442152455	0.447501737470376
X1736675	COVID19	TRUE	1.68671090462433	0.905151749383059	86	24	0.081720032888601	0.447501737470376
X2547399	COVID19	TRUE	-0.914257058145582	0.503381187104347	86	36	0.0785331719484908	0.447501737470376
X515620	COVID19	TRUE	1.02862971209937	0.577209436883793	86	42	0.0835770064902729	0.447935192088317
X1129771	COVID19	TRUE	1.33287436012347	0.731680588994197	86	32	0.0846617234908487	0.448707134501498
X1308	COVID19	TRUE	0.847236927742176	0.480991744804683	86	50	0.0867157509694001	0.449602317526129
X2072590	COVID19	TRUE	2.18533267363475	1.15160278522468	86	23	0.0858606232929112	0.449602317526129
X192	COVID19	TRUE	1.08918425974055	0.599410730078897	86	21	0.0899315030346471	0.461261580080932
X434	COVID19	TRUE	-2.58689384375783	1.47260262339654	86	27	0.0918993002434172	0.463522359349895
X53335	COVID19	TRUE	-0.993433627738552	0.523640255694581	86	27	0.0923157738747171	0.463522359349895
X37927	COVID19	TRUE	1.50839699610657	0.8400001426371	86	19	0.0933616894642618	0.463890894525551
X547	COVID19	TRUE	-1.36857120772095	0.795157175813476	86	36	0.097425101749044	0.46471773534294
X31979	COVID19	TRUE	1.23425014375977	0.712448908950537	86	31	0.0959082802831917	0.46471773534294
X54736	COVID19	TRUE	1.05901978333193	0.616818754218561	86	35	0.0971707188266701	0.46471773534294
X2652307	COVID19	TRUE	1.51954249088275	0.793340892377435	86	26	0.0956061966672422	0.46471773534294
X53444	COVID19	TRUE	1.25005197976191	0.727343484796866	86	25	0.102015342299428	0.464817606400376
X62322	COVID19	TRUE	1.39170940147594	0.742516843510776	86	21	0.0994243361731899	0.464817606400376
X482957	COVID19	TRUE	-0.994576009073657	0.589983951813427	86	28	0.104790466843388	0.464817606400376
X908937	COVID19	TRUE	0.702045285802897	0.421567107998931	86	52	0.10319452336823	0.464817606400376
X1218801	COVID19	TRUE	2.2753820097818	1.32703433209133	86	20	0.105241722203859	0.464817606400376
X1236517	COVID19	TRUE	0.862141122447296	0.516083006783206	86	47	0.103320340487929	0.464817606400376
X1660158	COVID19	TRUE	-1.78527424200022	1.04984382065602	86	35	0.09961774671691	0.464817606400376
X2579935	COVID19	TRUE	1.09862378810028	0.649016992362378	86	29	0.103554910300027	0.464817606400376
X247	COVID19	TRUE	0.951462402903932	0.563553440976856	86	32	0.108594911984693	0.472422748714136
X266940	COVID19	TRUE	1.57609806644559	0.944284897877698	86	28	0.111860434554474	0.472422748714136
X749414	COVID19	TRUE	1.01691152254168	0.598892637572198	86	17	0.110152759251493	0.472422748714136
X1160717	COVID19	TRUE	1.08172608836629	0.645282505327863	86	32	0.111915661645068	0.472422748714136
X1199245	COVID19	TRUE	-1.49252015782135	0.888336648654694	86	26	0.109709707105607	0.472422748714136
X33958	COVID19	TRUE	1.47554439528373	0.892311364030402	86	31	0.113473004238142	0.474794938785911
X47421	COVID19	TRUE	1.2665238825592	0.782789008254355	86	33	0.117784270053716	0.484337041513988
X634113	COVID19	TRUE	1.07036975264323	0.645840310449145	86	20	0.117200452839737	0.484337041513988
X2500547	COVID19	TRUE	1.10472705280693	0.683817154589448	86	31	0.11891687904203	0.484814968402122
X244366	COVID19	TRUE	1.17140226346001	0.72607635774872	86	34	0.120161070319662	0.485735852054905
X44000	COVID19	TRUE	0.984270408498566	0.604283740017164	86	21	0.121303235479964	0.486232296839854
X1499973	COVID19	TRUE	-1.07259919674282	0.673475520277954	86	32	0.124172077771121	0.493584009140206
