"","ENVHA_235033541_trim25_frac","ENVHA_235057263_trim25_frac","ENVHA_235057491_trim25_frac","ENVHA_235057493_trim25_frac","ENVHA_235057560_trim25_frac","ENVHA_235063938_trim25_frac","ENVHA_235072464_trim25_frac","ENVHA_332760487_trim25_frac","ENVHA_332760505_trim25_frac","ENVHA_332761261_trim25_frac","ENVHA_332763462_trim25_frac","ENVHA_332766234_trim25_frac","ENVHA_332766361_trim25_frac","ENVHA_332766367_trim25_frac","ENVHA_332766382_trim25_frac","ENVHA_332766553_trim25_frac","ENVHA_332766565_trim25_frac","ENVHA_332766577_trim25_frac","ENVHA_332766585_trim25_frac","ENVHA_332767040_trim25_frac","ENVHA_332767115_trim25_frac","ENVHA_332767116_trim25_frac","ENVHA_332767131_trim25_frac","ENVHA_332767142_trim25_frac","ENVHA_332767164_trim25_frac","ENVHA_332767240_trim25_frac","ENVHA_332767265_trim25_frac","ENVHA_332767281_trim25_frac","ENVHA_332767798_trim25_frac","ENVHA_332767811_trim25_frac","ENVHA_332767828_trim25_frac","ENVHA_332767854_trim25_frac","ENVHA_332769255_trim25_frac","ENVHA_332769263_trim25_frac","ENVHA_332769282_trim25_frac","ENVHA_332769330_trim25_frac","ENVHA_332769475_trim25_frac","ENVHA_332770127_trim25_frac","ENVHA_332773187_trim25_frac","ENVHA_332773976_trim25_frac","ENVHA_332774160_trim25_frac","ENVHA_338311314_trim25_frac","ENVHA_338312231_trim25_frac","ENVHA_338312232_trim25_frac","ENVHA_338312247_trim25_frac","ENVHA_338313528_trim25_frac","ENVHA_338314157_trim25_frac","ENVHA_338314170_trim25_frac","ENVHA_338315335_trim25_frac","ENVHA_338316258_trim25_frac","ENVHA_338316278_trim25_frac","ENVHA_338318855_trim25_frac","ENVHA_338319683_trim25_frac","ENVHA_338319947_trim25_frac","ENVHA_338319976_trim25_frac","ENVHA_338337127_trim25_frac","ENVHA_338337295_trim25_frac","ENVHA_338337338_trim25_frac","ENVHA_338338122_trim25_frac","ENVHA_338339731_trim25_frac","ENVHA_338339754_trim25_frac"
"387341",0.00011,2e-05,0,1e-05,0,2e-05,2e-05,0,0,3e-05,0,6e-05,1e-05,0,0,2e-05,2e-05,1e-05,6e-05,0,8e-05,0,0,0,2e-05,0,0,0,2e-05,5e-05,1e-05,4e-05,2e-05,6e-05,1e-05,0,0.00018,5e-05,9e-05,0.00011,0,0,1e-05,2e-05,1e-05,0,1e-05,0,0,3e-05,3e-05,0,0,2e-04,6e-05,2e-05,0,2e-05,5e-05,1e-05,9e-05
"34073",0.00173,0.00061,0.00042,0.00174,0.00285,0.00124,0.00103,0.00126,0.00162,0.0062,0.00177,0.00125,0.00057,0.00049,0.00144,0.00071,0.00147,0.00226,0.00153,0.00151,0.00075,0.0015,0.00106,0.00132,0.00036,9e-04,0.00038,0.00171,0.00272,0.00079,0.00059,0.00132,0.00115,0.00072,0.00126,0.00166,0.00094,0.00182,0.00138,0.00171,0.00203,0.0019,0.00757,0.00049,0.00237,0.00185,0.00098,0.00053,0.00308,0.00072,0.00108,0.00191,0.0024,0.00204,0.00183,0.00112,0.00245,0.0011,0.0019,0.00111,0.00111
"2691571",0.00011,1e-05,0,0,0,2e-05,0,0,0,0,0,0,6e-05,0,0,0,1e-05,0,4e-05,0,4e-05,0,0,0,1e-05,1e-05,0,0,0,2e-05,1e-05,4e-05,1e-05,2e-05,1e-05,0,0,1e-05,1e-05,7e-05,0,0,0,1e-05,0,0,1e-05,0,0,0,1e-05,0,0,2e-04,0,2e-05,0,1e-05,1e-05,0,2e-05
"631",0,0,0,0,0,1e-05,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0
"89059",0,2e-05,3e-05,3e-05,3e-05,1e-05,2e-05,9e-05,3e-05,0,5e-05,1e-05,4e-05,4e-05,0.00011,0,1e-05,4e-05,0,1e-04,0,1e-04,0.00015,9e-05,1e-05,7e-05,0,6e-05,2e-05,3e-05,1e-05,3e-05,0,0,4e-05,3e-05,0,6e-05,0,0,9e-05,8e-05,1e-05,1e-05,5e-05,4e-05,2e-05,7e-05,5e-05,2e-05,3e-05,4e-05,5e-05,4e-05,0,3e-05,7e-05,3e-05,8e-05,1e-05,1e-05
"1795053",5e-05,4e-05,4e-05,9e-05,0.00013,0.00015,0.00023,9e-05,0.00012,0.00037,7e-05,0.00027,0.00028,4e-05,6e-05,1e-04,0.00015,9e-05,0.00034,6e-05,2e-04,1e-04,4e-05,7e-05,2e-05,5e-05,2e-05,8e-05,0.00011,0.00017,0.00123,0.00041,0.00042,1e-04,4e-05,9e-05,0,0.00027,0.00015,0.00013,7e-05,9e-05,0.00027,0.00037,0.00014,9e-05,0.00025,2e-05,9e-05,0.00013,0.00014,8e-05,9e-05,3e-04,0.00048,0.00024,9e-05,0.00017,0.00033,0.00016,0.00029
"1720344",2e-05,0.00773,0.00299,0.00294,0.0065,0.00436,0.00283,0.00659,0.00799,0.00223,0.01133,0.00077,0.00357,0.0017,0.00649,0.00126,0.00269,0.00528,0.00145,0.00721,0.00016,0.00796,0.00358,0.00628,0.00619,0.00569,0.00137,0.01154,0.00586,0.00125,0.00388,0.01112,0.00253,0.00096,0.00837,0.00639,0.0039,0.00738,0.00396,0.00266,0.00812,0.00819,0.00247,0.00056,0.00898,0.01023,0.00652,0.00195,0.00855,0.00411,0.01254,0.00646,0.00748,0.00081,0,0.00549,0.01027,0.00477,0.00347,0.00507,0.00345
"1206",6e-05,6e-05,1e-05,2e-05,3e-05,2e-05,2e-05,2e-05,2e-05,1e-05,2e-05,3e-05,0,1e-05,3e-05,0.00011,1e-05,1e-05,1e-05,4e-05,4e-05,2e-05,1e-05,3e-05,2e-05,2e-05,0,2e-05,1e-05,3e-05,1e-05,1e-05,3e-05,1e-05,2e-05,2e-05,0.00017,2e-05,1e-05,2e-05,2e-05,3e-05,0.00047,3e-05,3e-05,4e-05,0.00012,1e-05,6e-05,1e-05,2e-05,3e-05,3e-05,5e-05,3e-05,2e-05,4e-05,1e-05,3e-05,4e-05,2e-05
"1720343",2e-05,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,1e-05,0,1e-05,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,1e-05
"34062",0.00666,0.00281,0.00392,0.00714,0.0066,0.00423,0.00211,0.00128,0.00174,0.00361,0.00203,0.00704,0.00226,0.00225,0.00215,0.00227,0.00724,0.0196,0.0039,0.002,0.00778,0.00201,0.00106,0.00156,0.01187,0.00129,0.00048,0.00235,0.01024,0.00612,0.0081,0.00427,0.00546,0.00216,0.00585,0.00253,0.00313,0.00289,0.00439,0.00599,0.00168,0.00283,0.00179,0.00151,0.00531,0.00639,0.00382,0.00086,0.00221,0.00342,0.00413,0.00316,0.00226,0.0061,0.00481,0.00591,0.0031,0.00275,0.00473,0.00494,0.00346
