ID,SampleType,SampleID,Trim,TrimType
ENVHA_338312247_trim30_frac,ENVHA,338312247,trim30,frac
ENVHA_338313528_trim25_num,ENVHA,338313528,trim25,num
ENVHA_338313528_trim25_frac,ENVHA,338313528,trim25,frac
ENVHA_338313528_trim30_num,ENVHA,338313528,trim30,num
ENVHA_338313528_trim30_frac,ENVHA,338313528,trim30,frac
ENVHA_338314157_trim25_num,ENVHA,338314157,trim25,num
ENVHA_338314157_trim25_frac,ENVHA,338314157,trim25,frac
ENVHA_338314157_trim30_num,ENVHA,338314157,trim30,num
ENVHA_338314157_trim30_frac,ENVHA,338314157,trim30,frac
ENVHA_338314170_trim25_num,ENVHA,338314170,trim25,num
ENVHA_338314170_trim25_frac,ENVHA,338314170,trim25,frac
ENVHA_338314170_trim30_num,ENVHA,338314170,trim30,num
ENVHA_338314170_trim30_frac,ENVHA,338314170,trim30,frac
ENVHA_338315335_trim25_num,ENVHA,338315335,trim25,num
ENVHA_338315335_trim25_frac,ENVHA,338315335,trim25,frac
ENVHA_338315335_trim30_num,ENVHA,338315335,trim30,num
ENVHA_338315335_trim30_frac,ENVHA,338315335,trim30,frac
ENVHA_338316258_trim25_num,ENVHA,338316258,trim25,num
ENVHA_338316258_trim25_frac,ENVHA,338316258,trim25,frac
ENVHA_338316258_trim30_num,ENVHA,338316258,trim30,num
ENVHA_338316258_trim30_frac,ENVHA,338316258,trim30,frac
ENVHA_338316278_trim25_num,ENVHA,338316278,trim25,num
ENVHA_338316278_trim25_frac,ENVHA,338316278,trim25,frac
ENVHA_338316278_trim30_num,ENVHA,338316278,trim30,num
ENVHA_338316278_trim30_frac,ENVHA,338316278,trim30,frac
ENVHA_338318855_trim25_num,ENVHA,338318855,trim25,num
ENVHA_338318855_trim25_frac,ENVHA,338318855,trim25,frac
ENVHA_338318855_trim30_num,ENVHA,338318855,trim30,num
ENVHA_338318855_trim30_frac,ENVHA,338318855,trim30,frac
ENVHA_338319683_trim25_num,ENVHA,338319683,trim25,num
ENVHA_338319683_trim25_frac,ENVHA,338319683,trim25,frac
ENVHA_338319683_trim30_num,ENVHA,338319683,trim30,num
ENVHA_338319683_trim30_frac,ENVHA,338319683,trim30,frac
ENVHA_338319947_trim25_num,ENVHA,338319947,trim25,num
ENVHA_338319947_trim25_frac,ENVHA,338319947,trim25,frac
ENVHA_338319947_trim30_num,ENVHA,338319947,trim30,num
ENVHA_338319947_trim30_frac,ENVHA,338319947,trim30,frac
ENVHA_338319976_trim25_num,ENVHA,338319976,trim25,num
ENVHA_338319976_trim25_frac,ENVHA,338319976,trim25,frac
ENVHA_338319976_trim30_num,ENVHA,338319976,trim30,num
ENVHA_338319976_trim30_frac,ENVHA,338319976,trim30,frac
ENVHA_338337127_trim25_num,ENVHA,338337127,trim25,num
ENVHA_338337127_trim25_frac,ENVHA,338337127,trim25,frac
ENVHA_338337127_trim30_num,ENVHA,338337127,trim30,num
ENVHA_338337127_trim30_frac,ENVHA,338337127,trim30,frac
ENVHA_338337295_trim25_num,ENVHA,338337295,trim25,num
ENVHA_338337295_trim25_frac,ENVHA,338337295,trim25,frac
ENVHA_338337295_trim30_num,ENVHA,338337295,trim30,num
ENVHA_338337295_trim30_frac,ENVHA,338337295,trim30,frac
ENVHA_338337338_trim25_num,ENVHA,338337338,trim25,num
ENVHA_338337338_trim25_frac,ENVHA,338337338,trim25,frac
ENVHA_338337338_trim30_num,ENVHA,338337338,trim30,num
ENVHA_338337338_trim30_frac,ENVHA,338337338,trim30,frac
ENVHA_338338122_trim25_num,ENVHA,338338122,trim25,num
ENVHA_338338122_trim25_frac,ENVHA,338338122,trim25,frac
ENVHA_338338122_trim30_num,ENVHA,338338122,trim30,num
ENVHA_338338122_trim30_frac,ENVHA,338338122,trim30,frac
ENVHA_338339731_trim25_num,ENVHA,338339731,trim25,num
ENVHA_338339731_trim25_frac,ENVHA,338339731,trim25,frac
ENVHA_338339731_trim30_num,ENVHA,338339731,trim30,num
ENVHA_338339731_trim30_frac,ENVHA,338339731,trim30,frac
ENVHA_338339754_trim25_num,ENVHA,338339754,trim25,num
ENVHA_338339754_trim25_frac,ENVHA,338339754,trim25,frac
ENVHA_338339754_trim30_num,ENVHA,338339754,trim30,num
ENVHA_338339754_trim30_frac,ENVHA,338339754,trim30,frac
