feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1128398	case	Uninfected	-1.18564407412893	0.336155417642489	86	52	0.000981343602211781	0.0672637960537288
X37927	case	CAP	-1.66611800084224	0.462674374299826	86	40	0.00100434432379476	0.0681156892443118
X1310	case	CAP	-1.44634195101528	0.409120223393483	86	53	0.00102720756816236	0.0689406079340637
X1266923	case	CAP	-2.8224238106729	0.725841561888053	86	28	0.00105950309547279	0.0703750355065073
X1182172	case	Uninfected	-1.80357758126105	0.49500248702632	86	34	0.00108447441043262	0.0712986594532385
X931089	case	CAP	-2.13563924065566	0.532132464048169	86	19	0.00113003435574339	0.0735435490308551
X47878	case	Uninfected	-1.3763607437709	0.328638357151812	86	48	0.00115176762549261	0.0742083881104889
X471854	case	Uninfected	2.50710683118699	0.702967417013954	86	36	0.00119856839701977	0.0764591701187959
X960	case	CAP	1.96120578816457	0.550700382780831	86	38	0.00122562730723691	0.0774187915737984
X189779	case	CAP	-2.94034074892282	0.515003673114495	86	9	0.00124955218578521	0.0781637352719816
X991905	case	CAP	1.91455776283499	0.528127588301867	86	32	0.00127084663382368	0.0787313929012113
X54291	case	Uninfected	-1.96902640049252	0.553873727404072	86	46	0.00131263423753262	0.079369153813765
X634113	case	CAP	-1.27790126062576	0.359911787398175	86	41	0.00131809707559722	0.079369153813765
X1219032	case	Uninfected	-1.56356504449316	0.43876936596139	86	54	0.00130673093995706	0.079369153813765
X571	case	Uninfected	-1.76466011580094	0.487479115965966	86	30	0.00136751542268813	0.0815824247072186
X279826	case	CAP	-1.94911302304935	0.511577678300015	86	28	0.00140377817520974	0.0822231162079671
X1160717	case	Uninfected	-1.82062668900014	0.524457109700144	86	42	0.00139261648622787	0.0822231162079671
X2560010	case	CAP	-1.89516905901375	0.510923609517409	86	22	0.00148786208858438	0.0863630219526951
X1454584	case	Uninfected	2.44030100155928	0.693266983324017	86	33	0.0015343306975146	0.088265113250773
X768507	case	Uninfected	-1.16262558866405	0.344649152427338	86	59	0.00157405267072916	0.0897488615708672
X2093	case	Uninfected	-1.49675528647209	0.430284583792421	86	36	0.00164092998198636	0.0927413322275271
X106648	case	Uninfected	-2.25686589231141	0.630760492841043	86	29	0.00167328321996405	0.0937475111845948
X522	case	Uninfected	-1.97486284045832	0.568087107132291	86	34	0.001689631812632	0.093847394558517
X82348	case	CAP	-1.6087912078178	0.455549349482209	86	32	0.00174335680937765	0.0960038284001728
X1825976	case	Uninfected	-1.36625336621535	0.393156724796027	86	32	0.00177500200236585	0.0969181178071455
X1648	case	CAP	-2.43682304140447	0.631289598854999	86	18	0.00179201360912861	0.0970247368371064
X32012	case	Uninfected	-1.52068189978887	0.453041086059262	86	47	0.00182696475097962	0.0980927824213476
X1130798	case	Uninfected	-1.53833125086367	0.451227772828364	86	38	0.00186205418654252	0.0991505382139956
X28264	case	Uninfected	-1.76990875180173	0.478473347907588	86	20	0.00194126696882792	0.10177731221091
X1461582	case	CAP	-1.66598504618365	0.47683653019391	86	35	0.00194297833337606	0.10177731221091
X853	case	Uninfected	-1.40670557965355	0.426572289129193	86	55	0.0019791702397553	0.102084262188324
X1908198	case	CAP	2.44090010642505	0.695783847774849	86	26	0.00198052658288693	0.102084262188324
X60519	case	Uninfected	-1.57851004643729	0.221997181576505	86	8	0.00199798470851103	0.102166789499496
X964	case	CAP	1.41847591278216	0.426697983062687	86	42	0.00203038265889996	0.103005948592854
X51663	case	CAP	-1.70589083165636	0.488208774040163	86	32	0.00208194773514442	0.103984412849112
X1736675	case	CAP	-1.86927339492063	0.56045242815053	86	42	0.00208045829430772	0.103984412849112
X2303331	case	Uninfected	-1.55507916437926	0.470193761497329	86	51	0.00210732402848752	0.104442220888808
X231049	case	CAP	-1.46506589811281	0.4398206692544	86	41	0.00213350494727806	0.104807737481698
X767463	case	Uninfected	-1.90608746562196	0.495081003321577	86	19	0.00214723286474998	0.104807737481698
X1528098	case	CAP	2.25486582905841	0.676919900451627	86	40	0.00217930890751325	0.105573588654946
X61645	case	Uninfected	-1.50856618327869	0.461018383883647	86	45	0.00228599785820689	0.10711107411537
X342113	case	CAP	1.83784116186448	0.556074634002368	86	38	0.00229416859039595	0.10711107411537
X862126	case	CAP	-2.59188117392892	0.753035320525008	86	31	0.00226257828255351	0.10711107411537
X1074311	case	Uninfected	-1.92249708147324	0.581570225937241	86	39	0.00229038050639749	0.10711107411537
X1778264	case	Uninfected	-2.03104677325472	0.597106608550944	86	33	0.00225417709078483	0.10711107411537
X157	case	Uninfected	-1.98554718805661	0.575858614243372	86	25	0.00232000710602041	0.107538171108557
X1014	case	CAP	-2.38211135987221	0.67948575313341	86	30	0.0023402009657342	0.107699391587325
X44013	case	CAP	2.96898325195908	0.843349591086792	86	23	0.00238792330913776	0.108920288093343
X269660	case	Uninfected	-1.55988354179537	0.442277734542249	86	23	0.0024005402621845	0.108920288093343
X766	case	CAP	1.41691778710757	0.439966872634197	86	47	0.00241826940408583	0.108957410982692
X1357	case	Uninfected	-1.49996530181041	0.468423400488829	86	56	0.0024547267713121	0.109074514396992
X33964	case	CAP	-2.94186684920595	0.792152961207898	86	21	0.00243890773398998	0.109074514396992
X1354	case	CAP	-2.96419781087741	0.846338858903175	86	24	0.0025018326933648	0.109655156757479
X33962	case	Uninfected	-2.74861308953493	0.492552286557423	86	9	0.00248682882135151	0.109655156757479
X620	case	Uninfected	-1.32892728694186	0.406021381554813	86	39	0.00256061862763339	0.111473417688121
