domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_frac CRR125950_0.90.bracken_frac CRR125950_0.95.bracken_frac CRR125950_0.99.bracken_frac CRR125950_0.bracken_frac CRR125950_1.bracken_frac 
Bacteria Proteobacteria Gammaproteobacteria Thiotrichales Piscirickettsiaceae Thiomicrorhabdus Thiomicrorhabdus indica 2267253 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Yersiniaceae Serratia Serratia marcescens 615 	0 0 0 0 4 0 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium Mycobacterium liflandii 261524 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Caulobacterales Caulobacteraceae Caulobacter Caulobacter flavus 1679497 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Alteromonadaceae Marinobacter Marinobacter salinus 1874317 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces albus 1888 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Winogradskyella Winogradskyella sp. J14-2 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Micrococcales Micrococcaceae Arthrobacter Arthrobacter alpinus 656366 	0 0 0 0 1 0 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae Burkholderia Burkholderia mallei 13373 	0 0 0 0 9 0 
Archaea Euryarchaeota Methanomicrobia Methanosarcinales Methanosarcinaceae Methanosarcina Methanosarcina barkeri 2208 	0 0 0 0 2 0 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma anserisalpingitidis 519450 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Micromonosporales Micromonosporaceae Micromonospora Micromonospora krabiensis 307121 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus simulans 1286 	0 0 0 0 2 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus lentus 1467 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus haemolyticus 1283 	0 0 0 0 7 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Erwiniaceae Pantoea Pantoea stewartii 66269 	0 0 0 0 1 0 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma flocculare 2128 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus xylosus 1288 	0 0 0 0 2 0 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Saccharomycetaceae Kluyveromyces Kluyveromyces marxianus 4911 	0 0 0 0 7 0 
Bacteria Firmicutes Bacilli Bacillales Planococcaceae Sporosarcina Sporosarcina psychrophila 1476 	0 0 0 0 2 0 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Auricoccus Auricoccus indicus 1849491 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria NA NA Phreatobacter Phreatobacter stygius 1940610 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Elizabethkingia Elizabethkingia miricola 172045 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Vibrionales Vibrionaceae Vibrio Vibrio gazogenes 687 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces sp. HM190 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Alteromonadaceae Marinobacter Marinobacter sp. LQ44 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Micrococcales Microbacteriaceae Agromyces Agromyces sp. HY052 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Thermotogae Thermotogae Thermotogales Thermotogaceae Thermotoga Thermotoga profunda 1508420 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingomonas Sphingomonas sp. MM-1 	S 0.00000 0.00000 0.00000 0.00000 0.00496 0.00000 
Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus Streptococcus sanguinis 1305 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae Candidatus Purcelliella Candidatus Purcelliella 	472834 0 0 0 0 2 0 
Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae Bibersteinia Bibersteinia trehalosi 47735 	0 0 0 0 1 0 
Eukaryota Bacillariophyta Coscinodiscophyceae Thalassiosirales Thalassiosiraceae Thalassiosira Thalassiosira pseudonana 35128 	0 0 0 0 13 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Capnocytophaga Capnocytophaga endodontalis 2708117 	0 0 0 0 4 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Permianibacter Permianibacter aggregans 1510150 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae NA secondary endosymbiont of 	cubana S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas Porphyromonas cangingivalis 36874 	0 0 0 0 1 0 
Bacteria Proteobacteria Betaproteobacteria Neisseriales Chromobacteriaceae Chromobacterium Chromobacterium vaccinii 1108595 	0 0 0 0 1 0 
Bacteria Bacteroidetes Bacteroidia Marinilabiliales Prolixibacteraceae NA Prolixibacteraceae bacterium WC007 	S 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 
Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus Streptococcus mutans 1309 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Chryseobacterium Chryseobacterium sp. 3008163 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Polaribacter Polaribacter sp. KT 	1896175 0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Propionibacteriales Nocardioidaceae Marmoricola Marmoricola scoriae 642780 	0 0 0 0 11 0 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Erythrobacteraceae Altererythrobacter Altererythrobacter sp. ZODW24 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Micrococcales Micrococcaceae Arthrobacter Arthrobacter sp. YC-RL1 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Neisseria Neisseria elongata 495 	0 0 0 0 96 0 
Bacteria Cyanobacteria NA Nostocales Calotrichaceae Calothrix Calothrix parasitica 1973486 	0 0 0 0 2 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium icense 1274631 	0 0 0 0 6 0 
Bacteria Proteobacteria Gammaproteobacteria Chromatiales Chromatiaceae Nitrosococcus Nitrosococcus wardiae 1814290 	0 0 0 0 1 0 
Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Neisseria Neisseria canis 493 	0 0 0 0 1 0 
Bacteria Synergistetes Synergistia Synergistales Synergistaceae Thermovirga Thermovirga lienii 336261 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Capnocytophaga Capnocytophaga canimorsus 28188 	0 0 0 0 2 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Capnocytophaga Capnocytophaga cynodegmi 28189 	0 0 0 0 1 0 
Bacteria Deinococcus-Thermus Deinococci Thermales Thermaceae Thermus Thermus brockianus 56956 	0 0 0 0 1 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae NA Arcobacter sp. L 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Archaea Euryarchaeota Methanococci Methanococcales Methanococcaceae Methanothermococcus Methanothermococcus okinawensis 155863 	0 0 0 0 1 0 
Archaea Euryarchaeota Thermococci Thermococcales Thermococcaceae Pyrococcus Pyrococcus horikoshii 53953 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Polaribacter Polaribacter sp. SA4-10 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae Georhizobium Georhizobium profundi 2341112 	0 0 0 0 7 0 
Bacteria Thermotogae Thermotogae Mesoaciditogales Mesoaciditogaceae Athalassotoga Athalassotoga saccharophila 1441386 	0 0 0 0 1 0 
Bacteria Tenericutes Mollicutes Entomoplasmatales Entomoplasmataceae Mesoplasma Mesoplasma florum 2151 	0 0 0 0 2 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus mobilis 2026190 	0 0 0 0 6 0 
Bacteria Firmicutes Bacilli Bacillales NA Gemella Gemella haemolysans 1379 	0 0 0 0 10 0 
Bacteria Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae NA Erysipelotrichaceae bacterium GAM147 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Capnocytophaga Capnocytophaga haemolytica 45243 	0 0 0 0 3 0 
Bacteria Proteobacteria Oligoflexia Silvanigrellales Silvanigrellaceae Silvanigrella Silvanigrella aquatica 1915309 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium sp. CCBAU 	858422 0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium arcticum 1784713 	0 0 0 0 2 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Hyphomicrobiaceae Rhodomicrobium Rhodomicrobium vannielii 1069 	0 0 0 0 8 0 
Bacteria Proteobacteria Gammaproteobacteria Chromatiales Ectothiorhodospiraceae NA Ectothiorhodospiraceae bacterium BW-2 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Cytophagia Cytophagales Hymenobacteraceae Hymenobacter Hymenobacter oligotrophus 2319843 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter chinensis 2004650 	0 0 0 0 1 0 
Viruses Duplornaviricota Resentoviricetes Reovirales Reoviridae Fijivirus Nilaparvata lugens reovirus 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Cytophagia Cytophagales Flammeovirgaceae NA Flammeovirgaceae bacterium 311 	S 0.00000 0.00000 0.00000 0.00000 0.00012 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Phyllobacteriaceae Mesorhizobium Mesorhizobium sp. 8 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae Lelliottia Lelliottia amnigena 61646 	0 0 0 0 1 0 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Saccharomycetaceae Kluyveromyces Kluyveromyces lactis 28985 	0 0 0 0 7 0 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces peucetius 1950 	0 0 0 0 2 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium sp. KBS0721 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Kordia Kordia antarctica 1218801 	0 0 0 0 1 0 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae Pandoraea Pandoraea pnomenusa 93220 	0 0 0 0 5 0 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingomonas Sphingomonas sp. YZ-8 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas salegens 1434072 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium sp. ORS 	115808 0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces sp. Z022 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Hydrogenophaga Hydrogenophaga crassostreae 1763535 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Afipia Afipia sp. GAS231 	S 0.00000 0.00000 0.00000 0.00000 0.00016 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus thermoamylovorans 35841 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Micromonosporales Micromonosporaceae Plantactinospora Plantactinospora sp. KBS50 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus weihaiensis 1547283 	0 0 0 0 1 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter ureolyticus 827 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium canariense 255045 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Clostridium Clostridium sp. SY8519 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae Bacteroides Bacteroides uniformis 820 	0 0 0 0 18 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium sp. 376 	0 0 0 0 17 0 
Eukaryota NA Cryptophyceae Pyrenomonadales Geminigeraceae Guillardia Guillardia theta 55529 	0 0 0 0 10 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae Candidatus Blochmannia Blochmannia endosymbiont 	Polyrhachis turneri S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Eukaryota Ascomycota Sordariomycetes Hypocreales Clavicipitaceae Pochonia Pochonia chlamydosporia 280754 	0 0 0 0 2 0 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium Mycobacterium sp. DL90 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingomonas Sphingomonas sp. LK11 	S 0.00000 0.00000 0.00000 0.00000 0.00364 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae Enterobacter Enterobacter bugandensis 881260 	0 0 0 0 4 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Capnocytophaga Capnocytophaga sp. oral 	323 S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae Paenibacillus Paenibacillus sp. FSL 	1536771 0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Rhodospirillales Acetobacteraceae Acetobacter Acetobacter sp. KACC 	2592655 0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Rhodospirillales Acetobacteraceae Acetobacter Acetobacter ghanensis 431306 	0 0 0 0 1 0 
Bacteria Cyanobacteria NA Oscillatoriales Oscillatoriaceae Moorea Moorea producens 1155739 	0 0 0 0 1 0 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium reichenowi 5854 	0 0 0 0 5 0 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Corynebacteriaceae Corynebacterium Corynebacterium pseudotuberculosis 1719 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Pseudobutyrivibrio Pseudobutyrivibrio xylanivorans 185007 	0 0 0 0 17 0 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus chromogenes 46126 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Dokdonia Dokdonia sp. MED134 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Comamonas Comamonas serinivorans 1082851 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae NA Flavobacteriaceae bacterium 1871037 	0 0 0 0 1 0 
Bacteria Planctomycetes NA NA NA NA Planctomycetes bacterium Pan44 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae Proteus Proteus mirabilis 584 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae Proteus Proteus vulgaris 585 	0 0 0 0 1 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Arcobacter Arcobacter molluscorum 1032072 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter johnsonii 40214 	0 0 0 0 4 0 
Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Paracoccus Paracoccus contaminans 1945662 	0 0 0 0 3 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae Citrobacter Citrobacter sp. FDAARGOS_156 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae Providencia Providencia stuartii 588 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhodobiaceae Candidatus Phaeomarinobacter Candidatus Phaeomarinobacter 	1458461 0 0 0 0 1 0 
Bacteria Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae Erysipelothrix Erysipelothrix larvae 1514105 	0 0 0 0 1 0 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae Paraburkholderia Paraburkholderia sp. SOS3 	S 0.00000 0.00000 0.00000 0.00000 0.00019 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Geobacillus Geobacillus thermodenitrificans 33940 	0 0 0 0 1 0 
Bacteria Planctomycetes Planctomycetia Planctomycetales Planctomycetaceae Crateriforma Crateriforma conspicua 2527996 	0 0 0 0 2 0 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Corynebacteriaceae Corynebacterium Corynebacterium segmentosum 43990 	0 0 0 0 168 0 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Saccharomycetaceae Tetrapisispora Tetrapisispora blattae 1071379 	0 0 0 0 2 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter subantarcticus 497724 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Elizabethkingia Elizabethkingia sp. JS20170427COW 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae Ruminococcus Ruminococcus bicirculans 1160721 	0 0 0 0 2 0 
Eukaryota Ascomycota Sordariomycetes Glomerellales Glomerellaceae Colletotrichum Colletotrichum higginsianum 80884 	0 0 0 0 24 0 
Bacteria Firmicutes Negativicutes Selenomonadales Sporomusaceae Pelosinus Pelosinus sp. UFO1 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingomonas Sphingomonas ginsengisoli An 	al. 363835 0 0 0 0 138 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus safensis 561879 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Clostridium Clostridium saccharoperbutylacetonicum 36745 	0 0 0 0 2 0 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus saprophyticus 29385 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Listeriaceae Listeria Listeria monocytogenes 1639 	0 0 0 0 1 0 
Bacteria Bacteroidetes Bacteroidia Marinilabiliales Marinilabiliaceae Alkalitalea Alkalitalea saponilacus 889453 	0 0 0 0 3 0 
Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae Xylella Xylella fastidiosa 2371 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae Shigella Shigella flexneri 623 	0 0 0 0 20 0 
Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Alteromonadaceae Hydrocarboniclastica Hydrocarboniclastica marina 2259620 	0 0 0 0 2 0 
Bacteria Actinobacteria Actinobacteria Micrococcales Microbacteriaceae Microbacterium Microbacterium pygmaeum 370764 	0 0 0 0 4 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Chryseobacterium Chryseobacterium taklimakanense 536441 	0 0 0 0 9 0 
Bacteria Proteobacteria Gammaproteobacteria Legionellales Legionellaceae Legionella Legionella longbeachae 450 	0 0 0 0 2 0 
Bacteria Actinobacteria Actinobacteria Micrococcales Microbacteriaceae Microbacterium Microbacterium sp. PM5 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae Massilia Massilia armeniaca 2072590 	0 0 0 0 3 0 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae Bacteroides Bacteroides caccae 47678 	0 0 0 0 4 0 
Bacteria Bacteroidetes Cytophagia Cytophagales Fulvivirgaceae Chryseolinea Chryseolinea soli 2321403 	0 0 0 0 3 0 
Eukaryota Euglenozoa Kinetoplastea Trypanosomatida Trypanosomatidae Leishmania Leishmania braziliensis 5660 	0 0 0 0 10 0 
Bacteria Spirochaetes Spirochaetia Leptospirales Leptospiraceae Leptospira Leptospira interrogans 173 	0 0 0 0 2 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Lacinutrix Lacinutrix venerupis 1486034 	0 0 0 0 2 0 
Bacteria Proteobacteria Alphaproteobacteria Rickettsiales Anaplasmataceae Ehrlichia Ehrlichia sp. HF 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Shewanellaceae Shewanella Shewanella polaris 2588449 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Clostridium Clostridium perfringens 1502 	0 0 0 0 2 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Ornithobacterium Ornithobacterium rhinotracheale 28251 	0 0 0 0 1 0 
Bacteria Tenericutes NA NA NA NA Tenericutes bacterium MO-XQ 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales NA Mitsuaria Mitsuaria sp. 7 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Cellulophaga Cellulophaga lytica 979 	0 0 0 0 5 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae NA Flavobacteriaceae bacterium 10Alg115 	S 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter lwoffii 28090 	0 0 0 0 2 0 
Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus Lactobacillus oligofermentans 293371 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Aeromonadales Aeromonadaceae Aeromonas Aeromonas schubertii 652 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Clostridium Clostridium septicum 1504 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Paeniclostridium Paeniclostridium sordellii 1505 	0 0 0 0 1 0 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma californicum 2113 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales NA Candidatus Sulcia Candidatus Sulcia 	336810 0 0 0 0 4 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter jejuni 197 	0 0 0 0 11 0 
Archaea Euryarchaeota Halobacteria Natrialbales Natrialbaceae Halopiger Halopiger xanaduensis 387343 	0 0 0 0 7 0 
Bacteria Proteobacteria Betaproteobacteria NA NA NA beta proteobacterium CB 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus delphini 53344 	0 0 0 0 1 0 
Viruses Pisuviricota Pisoniviricetes Picornavirales Caliciviridae Vesivirus Feline calicivirus 11978 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces sp. SCSIO 	1109743 0 0 0 0 46 0 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Rhizorhabdus Rhizorhabdus dicambivorans 1850238 	0 0 0 0 10 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bartonellaceae Bartonella Bartonella bovis 155194 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus succinus 61015 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Lactobacillales Aerococcaceae Aerococcus Aerococcus christensenii 87541 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingopyxis Sphingopyxis sp. LPB0140 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Helicobacteraceae Sulfurimonas Sulfurimonas sp. GYSZ_1 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Debaryomycetaceae Scheffersomyces Scheffersomyces stipitis 4924 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Blattabacteriaceae Blattabacterium Blattabacterium sp. (Mastotermes 	39768 0 0 0 0 3 0 
Bacteria Tenericutes Mollicutes Entomoplasmatales Spiroplasmataceae Spiroplasma Spiroplasma culicicola 216935 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Lactococcus Lactococcus piscium 1364 	0 0 0 0 15 0 
