domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_frac CRR125950_0.90.bracken_frac CRR125950_0.95.bracken_frac CRR125950_0.99.bracken_frac CRR125950_0.bracken_frac CRR125950_1.bracken_frac 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Erwiniaceae Erwinia Erwinia persicina 55211 	16 0 0 0 1 0 
Bacteria Bacteroidetes Bacteroidia Bacteroidales NA Candidatus Azobacteroides Candidatus Azobacteroides 	511435 1 0 0 0 3 0 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella Prevotella enoeca 76123 	16 6 5 4 57 4 
Bacteria Actinobacteria Actinobacteria Micrococcales Micrococcaceae Rothia Rothia mucilaginosa 43675 	173 15 10 6 228 7 
Viruses Negarnaviricota Monjiviricetes Mononegavirales Paramyxoviridae Respirovirus Human respirovirus 3 	S 0.00008 0.00000 0.00000 0.00000 0.00038 0.00000 
Bacteria Proteobacteria Betaproteobacteria Rhodocyclales Zoogloeaceae Azoarcus Azoarcus sp. KH32C 	S 0.00016 0.00016 0.00020 0.00014 0.00002 0.00015 
Eukaryota Apicomplexa Conoidasida Eucoccidiorida Sarcocystidae Toxoplasma Toxoplasma gondii 5811 	54 226 314 512 84 648 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma hyorhinis 2100 	5 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae Paenibacillus Paenibacillus sp. lzh-N1 	S 0.00011 0.00035 0.00035 0.00029 0.00002 0.00023 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Pectobacteriaceae Dickeya Dickeya fangzhongdai 1778540 	15 0 0 0 1 0 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Alcaligenaceae Achromobacter Achromobacter sp. AONIH1 	S 0.00427 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus cohnii 29382 	14 38 37 37 1 42 
Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae Stenotrophomonas Stenotrophomonas maltophilia 40324 	144 66 53 0 110 0 
Bacteria Chlamydiae Chlamydiia Chlamydiales Chlamydiaceae Chlamydia Chlamydia suis 83559 	13 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Geobacillus Geobacillus subterraneus 129338 	4 9 7 4 1 3 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Methylobacteriaceae Methylorubrum Methylorubrum populi 223967 	3 0 0 0 3 0 
Bacteria Thermodesulfobacteria Thermodesulfobacteria Thermodesulfobacteriales Thermodesulfobacteriaceae Thermodesulfatator Thermodesulfatator indicus 171695 	1 1 1 1 1 1 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Delftia Delftia acidovorans 80866 	232 34 23 17 73 17 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae Lautropia Lautropia mirabilis 47671 	345 0 0 0 517 0 
Bacteria Cyanobacteria NA Oscillatoriales Oscillatoriaceae Oscillatoria Oscillatoria nigro-viridis 482564 	8 1 1 1 6 1 
Bacteria Proteobacteria Gammaproteobacteria Vibrionales Vibrionaceae Vibrio Vibrio tubiashii 29498 	9 19 15 9 2 7 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium sp. 6(2017) 	S 0.00033 0.00000 0.00000 0.00000 0.00451 0.00000 
Eukaryota Euglenozoa Kinetoplastea Trypanosomatida Trypanosomatidae Leishmania Leishmania mexicana 5665 	2 0 0 0 3 0 
Eukaryota Euglenozoa Kinetoplastea Trypanosomatida Trypanosomatidae Leishmania Leishmania major 5664 	1 1 1 1 2 1 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Chryseobacterium Chryseobacterium indologenes 253 	51 19 9 7 11 7 
Bacteria Spirochaetes Spirochaetia Leptospirales Leptospiraceae Leptospira Leptospira borgpetersenii 174 	2 0 0 0 1 0 
Bacteria Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae Fusobacterium Fusobacterium varium 856 	16 8 1 1 3 1 
Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Neisseria Neisseria flavescens 484 	103 0 0 0 116 0 
Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Pauljensenia Pauljensenia hongkongensis 178339 	376 0 0 0 195 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus thuringiensis 1428 	210 373 356 347 49 384 
Bacteria Proteobacteria Oligoflexia Silvanigrellales NA NA Silvanigrellales bacterium RF1110005 	S 0.00003 0.00004 0.00005 0.00007 0.00007 0.00008 
Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae Paenibacillus Paenibacillus mucilaginosus 61624 	2 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Oceanospirillales Halomonadaceae Candidatus Carsonella Candidatus Carsonella 	114186 2 0 0 0 30 0 
Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae Aggregatibacter Aggregatibacter segnis 739 	19 0 0 0 13 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae Escherichia Escherichia coli 562 	885 1430 1509 1931 2413 2302 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Alcaligenaceae Bordetella Bordetella genomosp. 13 	S 0.00125 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces sp. GY16 	S 0.00008 0.00008 0.00010 0.00007 0.00002 0.00008 
Viruses Artverviricota Revtraviricetes Ortervirales Retroviridae Lentivirus Equine infectious anemia 	11665 8 2 1 1 8 1 
Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae Haemophilus Haemophilus haemolyticus 726 	9 0 0 0 29 0 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Alcaligenaceae Achromobacter Achromobacter xylosoxidans 85698 	32 0 0 0 8 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium gilvum 1492737 	32 2 2 1 1 1 
Eukaryota Ascomycota Sordariomycetes Hypocreales Nectriaceae Fusarium Fusarium graminearum 5518 	20 0 0 0 14 0 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae Cupriavidus Cupriavidus oxalaticus 96344 	12 0 0 0 1 0 
Eukaryota Ascomycota Dothideomycetes Mycosphaerellales Mycosphaerellaceae Zymoseptoria Zymoseptoria tritici 1047171 	25 0 0 0 127 0 
Bacteria Actinobacteria Actinobacteria Propionibacteriales Propionibacteriaceae Cutibacterium Cutibacterium acnes 1747 	1982 727 533 338 1709 318 
Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae Haemophilus Haemophilus parainfluenzae 729 	199 0 0 0 84 0 
Bacteria Tenericutes Mollicutes Acholeplasmatales Acholeplasmataceae Candidatus Phytoplasma Candidatus Phytoplasma 	59748 4 5 6 7 5 7 
