domain	phylum	class	order	family	genus	species	tax_id	tax_level	CRR125950_0.5.bracken_num	CRR125950_0.5.bracken_frac	CRR125950_0.90.bracken_num	CRR125950_0.90.bracken_frac	CRR125950_0.95.bracken_num	CRR125950_0.95.bracken_frac	CRR125950_0.99.bracken_num	CRR125950_0.99.bracken_frac	CRR125950_0.bracken_num	CRR125950_0.bracken_frac	CRR125950_1.bracken_num	CRR125950_1.bracken_frac
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Mannheimia haemolytica	75985	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	144	0.00338	0	0.00000
Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercospora	Cercospora beticola	122368	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium profundum	74109	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaeta thermophila	154	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus sphaericus	1421	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3	0.00007	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria chenwenguii	1853278	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00031	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia dioxanivorans	240495	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	6	0.00014	0	0.00000
Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	Methanospirillum hungatei	2203	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Entomoplasma	Entomoplasma somnilux	215578	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3	0.00007	0	0.00000
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus casei	1582	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
