"obs.tot"	"obs.groups"	"df"	"statistic"	"pvalue"
"GO:0004553"	87	3	2	0.579979636229504	0.748271186351132
"GO:0019538"	87	3	2	2.94806135415752	0.229000595022725
"GO:0043414"	87	3	2	1.5971871020819	0.44996136698801
"GO:0009451"	87	3	2	0.830263051734076	0.660253434588404
"GO:0008757"	87	3	2	1.64513566530864	0.439302150530799
"GO:0001510"	87	3	2	1.92443754991498	0.382044274615267
"GO:0008173"	87	3	2	1.86140959818425	0.394275727247371
"GO:0140102"	87	3	2	1.79540141463699	0.407505557923363
"GO:0008649"	87	3	2	1.79540141463699	0.407505557923363
"GO:0090305"	87	3	2	0.995176736171874	0.607995153608776
"GO:0006281"	87	3	2	1.16985555243067	0.557146099559017
"GO:0004519"	87	3	2	2.02489637720368	0.36332839342341
"GO:0018130"	87	3	2	3.41121991618398	0.181661546444752
"GO:1901362"	87	3	2	3.26127948692648	0.195804269548272
"GO:0019438"	87	3	2	1.83032115090225	0.400452318116181
"GO:0034654"	87	3	2	2.96174659123347	0.22743898016648
"GO:0019637"	87	3	2	1.67049183860188	0.433767796442308
"GO:0055086"	87	3	2	1.6301382164705	0.442608738395572
"GO:0090407"	87	3	2	1.35686066730355	0.507412836451382
"GO:0006753"	87	3	2	0.645624316940495	0.724109859497526
"GO:0009117"	87	3	2	0.59185679244663	0.743840687915859
"GO:1901293"	87	3	2	0.19196133821796	0.908481577657337
"GO:0009165"	87	3	2	0.16341699676867	0.921540550106289
"GO:0072521"	87	3	2	0.713576216825842	0.699920789350068
"GO:0006163"	87	3	2	0.759669195542265	0.683974530768697
"GO:0072522"	87	3	2	0.965683155626103	0.617027566487494
"GO:0006164"	87	3	2	1.00187220212339	0.605963151382142
"GO:0006082"	87	3	2	1.15439721840015	0.561469059733882
"GO:0043436"	87	3	2	1.17175060162086	0.55661843995133
"GO:0019752"	87	3	2	1.17441216428467	0.555878195183653
"GO:0006520"	87	3	2	1.17598531937657	0.555441125794058
"GO:0044262"	87	3	2	2.52608399546662	0.282792462696074
"GO:0004812"	87	3	2	1.19778665815296	0.549419326168627
"GO:0016875"	87	3	2	1.19778665815296	0.549419326168627
"GO:0043039"	87	3	2	1.33972226020355	0.511779643639001
"GO:0043038"	87	3	2	1.26615377896471	0.530955593401842
"GO:0006418"	87	3	2	1.43818152296558	0.48719503112304
"GO:0016301"	87	3	2	3.67031303580669	0.159588521352468
"GO:0016310"	87	3	2	3.22775113770508	0.199114435085994
"GO:0007166"	87	3	2	0.877196204261124	0.644939927533609
"GO:0071840"	87	3	2	0.999485644480721	0.606686665968661
"GO:0044267"	87	3	2	1.55125228380082	0.460415405349466
"GO:0055114"	87	3	2	3.16614082911027	0.205343639181934
"GO:0097367"	87	3	2	5.10058532099307	0.0780588179255386
"GO:0017076"	87	3	2	4.7092222781298	0.0949304140877968
"GO:0044283"	87	3	2	2.89762486365058	0.234849021777538
"GO:0032553"	87	3	2	4.84326766687988	0.0887764529668407
"GO:0032555"	87	3	2	4.89140593772937	0.0866651905526403
"GO:0043603"	87	3	2	0.272582820423523	0.872588314289611
"GO:0007155"	87	3	2	0.635978959698539	0.727610442945865
"GO:0022610"	87	3	2	0.592134693622464	0.743737337995388
"GO:0035639"	87	3	2	4.68436879559375	0.0961174500006949
"GO:0016853"	87	3	2	2.73321531480786	0.254970441200358
"GO:0060089"	87	3	2	1.0076568695784	0.604213035900855
"GO:0038023"	87	3	2	1.01157900100442	0.60302929550851
"GO:0043604"	87	3	2	0.305106238952544	0.858513288968866
"GO:0015925"	87	3	2	1.86140959818425	0.394275727247371
"GO:0004557"	87	3	2	2.00085106930954	0.367722929023479
"GO:0006518"	87	3	2	0.286378358531861	0.866590112506057
"GO:0004888"	87	3	2	1.65671143338784	0.43676686467304
"GO:0007186"	87	3	2	2.82274993724199	0.243807824475502
"GO:0031167"	87	3	2	1.82195624622997	0.402130698275463
"GO:0000154"	87	3	2	1.8226207167035	0.401997118478897
"GO:0043043"	87	3	2	0.280405207059571	0.869182118193252
"GO:0006412"	87	3	2	0.29176943803843	0.86425732987464
"GO:0016830"	87	3	2	3.05728224674882	0.216830112585017
"GO:0006766"	87	3	2	2.77591955342238	0.249583992610924
"GO:0006767"	87	3	2	2.77591955342238	0.249583992610924
"GO:0009110"	87	3	2	2.77564588391912	0.249618146711245
"GO:0042364"	87	3	2	2.77564588391912	0.249618146711245
"GO:0042726"	87	3	2	3.03838587466074	0.218888472399755
"GO:0042727"	87	3	2	3.03838587466074	0.218888472399755
"GO:0006771"	87	3	2	3.05514949693114	0.217061458105165
"GO:0009231"	87	3	2	3.05514949693114	0.217061458105165
"GO:0008686"	87	3	2	2.96502892045791	0.227066021487794
"GO:0055085"	87	3	2	6.14093571998313	0.0463994413361513
"GO:0030554"	87	3	2	4.74984563097357	0.0930216687658068
"GO:0032559"	87	3	2	4.89451925653809	0.0865303873173191
"GO:0005524"	87	3	2	4.89451925653809	0.0865303873173191
"GO:0005515"	87	3	2	0.104615184377684	0.949036905603607
"GO:0016051"	87	3	2	2.17555163801294	0.336965132286972
"GO:0005976"	87	3	2	2.41554386999859	0.298862423067958
"GO:0044264"	87	3	2	2.40673534713315	0.300181594166375
"GO:0000271"	87	3	2	2.37497338128892	0.304986827862173
"GO:0034637"	87	3	2	2.33510791000624	0.311127042010694
"GO:0033692"	87	3	2	2.413251973443	0.299205100254637
"GO:0008879"	87	3	2	2.37649865124124	0.304754322909452
"GO:0045226"	87	3	2	2.55502287646702	0.27873007509748
"GO:0046379"	87	3	2	2.55502287646702	0.27873007509748
"GO:0005215"	87	3	2	6.92834486343119	0.0312988966856958
"GO:0005198"	87	3	2	1.38764075518901	0.499663514755862
"GO:0003735"	87	3	2	1.52752928210807	0.465909140630848
"GO:1901135"	87	3	2	1.66488391650822	0.434985771225829
"GO:1901137"	87	3	2	1.43448946224973	0.488095238590236
"GO:0019693"	87	3	2	0.319811433546557	0.852224135619877
"GO:0009259"	87	3	2	0.303204808925688	0.859329878552398
"GO:0046390"	87	3	2	0.483610580243738	0.785209050626952
"GO:0009260"	87	3	2	0.586429580436454	0.745861919646392
"GO:0009150"	87	3	2	0.210691584270486	0.900013251267877
"GO:0009152"	87	3	2	0.932832189627103	0.627246235835153
"GO:0022857"	87	3	2	6.90868917734113	0.0316080138190991
"GO:1901657"	87	3	2	0.508279428587042	0.775583434384795
"GO:0009116"	87	3	2	0.512765819224988	0.773845599135979
"GO:0034404"	87	3	2	1.14840763621597	0.563153062632276
"GO:0009119"	87	3	2	0.589578267882363	0.744688600461198
"GO:1901659"	87	3	2	1.21284108234865	0.545299256143578
"GO:0009163"	87	3	2	1.29946116784135	0.522186443235473
"GO:0042455"	87	3	2	1.31627296590032	0.517815393757206
"GO:0042278"	87	3	2	0.592535607419601	0.743588265657053
"GO:0046128"	87	3	2	0.51513393557253	0.772929863178396
"GO:1901068"	87	3	2	0.488734828148027	0.783199822755456
"GO:0042451"	87	3	2	0.984640301991754	0.611206656086112
"GO:0046129"	87	3	2	0.984640301991754	0.611206656086112
"GO:1901070"	87	3	2	1.07563901363199	0.584020317326753
"GO:0140096"	87	3	2	5.12802750409484	0.0769950802484149
"GO:0004930"	87	3	2	2.72250610273942	0.256339369227694
"GO:0007216"	87	3	2	2.78157143814969	0.24887967827749
"GO:0008066"	87	3	2	2.93018323698767	0.231056821429591
"GO:0007215"	87	3	2	2.93029007173184	0.231044479311033
"GO:0006464"	87	3	2	3.70801427508669	0.156608356067264
"GO:0036211"	87	3	2	3.70801427508669	0.156608356067264
"GO:0016043"	87	3	2	4.22048907850023	0.121208322616671
"GO:0006811"	87	3	2	6.25665748058772	0.043790922134054
"GO:0016616"	87	3	2	1.9595760222713	0.375390669058725
"GO:0009123"	87	3	2	0.648714398750944	0.722991943979714
"GO:0009124"	87	3	2	0.607128936965639	0.738182298104952
"GO:0009156"	87	3	2	0.640236245811886	0.726063267305071
"GO:0009161"	87	3	2	0.636257253499415	0.727509205251622
"GO:0009127"	87	3	2	0.770149155896408	0.680399891484527
"GO:0009168"	87	3	2	0.771722299100604	0.679864918676606
"GO:0009126"	87	3	2	0.796776772638998	0.671401213970652
"GO:0009167"	87	3	2	0.796955230936686	0.671341308084512
"GO:0016614"	87	3	2	1.21484508936209	0.544753138028536
"GO:0006177"	87	3	2	1.4964872624932	0.473196931606682
"GO:0046037"	87	3	2	1.57121951808174	0.455841663450566
"GO:0003938"	87	3	2	1.56791031988166	0.456596522979405
"GO:0016773"	87	3	2	4.0516480304205	0.131885123053058
"GO:0035556"	87	3	2	4.43079825348771	0.109109956854781
"GO:0008233"	87	3	2	4.46710899045555	0.107146899320461
"GO:0019843"	87	3	2	0.846983515102926	0.654756572441545
"GO:0016817"	87	3	2	5.51656813396933	0.0634004660268549
"GO:0016818"	87	3	2	5.52813360236344	0.0630348959997227
"GO:0016462"	87	3	2	5.55819245625056	0.0620946013797482
"GO:0004672"	87	3	2	4.86324744727182	0.0878940010872962
"GO:0006468"	87	3	2	5.01712005059869	0.0813853477457718
"GO:0016651"	87	3	2	1.36100363172966	0.506362827698693
