taxid	CRR119890	CRR119891	CRR119892	CRR119893	CRR125445	CRR125446
1569	0	0	0	0	1	0
1570	1	2	1	4	3	4
1571	3	3	4	1	1	29
1575	2	3	3	1	5	6
1578	5	6	6	5	6	3
1579	0	1	0	0	0	0
1580	0	0	1	1	0	0
1582	1	0	3	1	1	0
1583	2	2	2	0	0	0
1584	1	0	1	1	1	2
1585	15	7	8	7	1	0
1587	2	1	2	1	1	2
1590	0	1	0	0	3	3
1596	0	0	0	0	0	1
1597	75	41	68	67	69	89
1598	1	4	0	1	6	3
1599	4	7	6	2	35	35
1600	1	1	2	0	2	1
1601	1	6	0	2	3	1
1604	1	1	0	0	0	2
1607	0	0	0	0	1	0
1610	0	1	0	0	0	0
1613	1	2	1	2	13	23
1614	0	1	1	0	0	0
1618	1	0	1	0	1	0
1624	3	10	9	2	12	7
1625	2	0	1	1	0	0
1629	0	0	1	0	0	0
1633	0	0	0	0	0	1
1637	1	1	4	1	2	0
1638	0	2	0	0	1	3
1639	5	4	5	8	5	12
1642	0	3	2	0	0	2
1646	0	0	0	0	0	1
1648	0	0	2	1	1	1
1650	0	0	0	0	1	0
1653	0	0	0	0	8	1
1654	0	1	1	2	11	1
1655	0	0	0	0	1	0
1656	1	1	0	0	1	4
1659	0	0	0	0	1	1
1660	148	93	111	161	72	83
1661	0	0	1	0	0	0
1663	2	5	7	11	15	13
1678	0	0	0	0	1	0
1680	0	0	2	1	3	1
1681	0	1	0	0	0	5
1685	1	1	0	0	0	1
1689	0	0	0	0	0	1
1696	1	0	0	0	0	0
1697	0	5	1	0	1	3
1703	0	0	0	1	1	0
1705	0	0	0	0	1	0
1707	0	0	0	0	1	0
1708	4	2	17	15	2	4
1710	0	1	4	3	4	13
1716	3	0	1	1	230	29
1717	5	3	0	1	5	1
1718	1	1	1	1	2	0
1719	2	4	0	3	9	12
1724	0	0	0	0	1	0
1725	20	24	11	5	6	10
1736	13	5	14	11	1	2
1743	0	0	0	1	0	0
1744	0	2	3	3	2	5
1747	8	31	17	17	423	262
1748	0	0	1	0	1	1
1749	1	1	0	1	0	0
1750	2	3	1	0	4	21
1752	0	0	0	1	0	0
1754	17	28	32	28	57	47
1760	534	432	623	862	503	820
1762	6	60	30	80	5	6
1763	3	4	7	6	6	9
1764	4	3	4	8	5	1
1766	0	1	0	0	3	2
1767	0	0	0	0	1	0
1768	32	36	31	10	59	73
1769	1	1	1	2	1	1
1770	1	3	2	1	0	0
1771	0	1	0	3	0	1
1773	11	28	8	13	7	9
1774	1	0	0	0	0	1
1775	37	11	27	21	0	1
1781	0	0	0	0	0	3
1784	0	1	3	5	229	537
1788	1	1	1	2	1	2
1789	0	2	1	6	1	0
1791	9	8	20	13	16	11
1792	1	0	1	1	0	3
1793	2	1	3	6	4	1
1794	6	0	1	3	0	1
1797	9	8	18	21	7	7
1804	0	1	2	0	23	6
1813	0	6	8	2	1	0
1817	1	0	1	0	2	1
1823	24	7	9	2	1	4
1824	9	21	8	8	0	0
1827	1	2	2	3	11	6
1828	0	0	0	0	0	1
1830	18	7	14	11	15	14
1833	0	0	1	0	0	0
1839	0	0	1	1	3	1
1851	0	0	1	0	0	0
1854	0	0	0	0	1	1
1863	0	0	0	1	1	0
1865	0	0	1	0	1	1
1873	34	43	43	45	6	9
1877	0	5	2	2	2	1
1881	0	1	1	0	0	1
1883	276	291	278	386	607	427
1885	10	10	5	14	1	6
1886	94	54	113	92	31	41
1888	28	22	16	52	32	181
1889	6	6	6	6	5	13
1890	2	7	6	3	8	19
1892	10	4	4	4	19	36
1893	3	7	4	4	0	4
1894	0	2	0	1	0	0
1901	20	14	22	13	25	41
1905	805	918	721	1073	22	48
1907	6	11	10	8	1	3
1908	12	16	13	16	7	20
1912	21	17	23	21	25	49
1915	10	5	8	4	1	18
1916	0	0	0	1	0	0
1927	69	63	46	60	22	51
1928	6	2	2	7	2	1
1932	22	26	60	52	9	9
1935	65	76	106	76	10	12
1940	6	48	27	17	36	42
1960	5	2	2	3	6	26
1967	5	4	12	12	37	72
1969	12	3	5	5	0	0
2004	1	0	0	0	0	0
2012	0	0	0	1	0	0
2014	4	22	24	29	7	31
2026	0	0	1	0	0	1
2041	1	0	1	1	6	5
2045	4	0	8	11	2	1
2047	1	0	0	0	0	0
2049	0	0	0	0	4	0
2053	0	0	0	0	1	0
2054	1	1	0	1	1	2
2061	1	1	1	0	0	0
2062	12	21	27	44	7	24
2070	1	1	0	0	9	7
2074	0	1	0	0	0	3
2092	0	0	3	0	9	10
2093	199	164	180	166	396	548
2094	19	4	10	9	10	3
2095	0	0	0	0	0	1
2096	3	3	0	1	3	12
2097	0	1	0	0	0	3
2098	2	2	4	2	6	13
2099	222	231	206	201	741	904
2100	30	38	41	39	128	182
2102	7	7	28	2	3	4
2103	19	14	21	16	24	25
2104	70	60	105	67	68	135
2105	0	0	0	0	0	1
2107	12	9	9	7	18	34
2109	24	16	21	20	12	18
2110	0	1	2	2	0	5
2111	63	16	38	12	87	68
2112	8	15	7	7	39	61
2113	7	55	39	11	169	49
2116	13	19	10	13	14	27
2120	13	12	22	16	24	28
2121	0	1	2	0	1	0
2123	15	3	9	12	3	4
2124	27	45	44	30	6	16
2129	4	7	6	1	2	3
2130	2	2	1	0	3	3
2132	6	1	9	6	19	33
2133	12	15	15	7	30	41
2134	21	14	22	21	28	36
2138	2	0	0	0	2	0
2139	2	0	0	1	1	1
2143	4	4	8	7	16	19
2148	2	0	4	4	0	0
