"obs.tot"	"obs.groups"	"df"	"statistic"	"pvalue"
"GO:1901265"	126	3	2	15.9842924450442	0.000338107649845291
"GO:0034645"	126	3	2	19.5944137324142	5.56066996754508e-05
"GO:0044271"	126	3	2	18.4815717436331	9.70013296506122e-05
"GO:0043412"	126	3	2	14.206811888937	0.00082229944208519
"GO:0016491"	126	3	2	16.4701058527047	0.000265192938693224
"GO:1901566"	126	3	2	14.5143313845815	0.000705103686941264
"GO:0016798"	126	3	2	10.4787023712339	0.00530369683457898
"GO:0008168"	126	3	2	12.4108215978202	0.00201847944927404
"GO:0016741"	126	3	2	13.8968382893646	0.00096015181567021
"GO:0032259"	126	3	2	12.1027348423951	0.00235464001941038
"GO:0016829"	126	3	2	17.9498819185593	0.000126541409026428
"GO:0003677"	126	3	2	16.445497847059	0.000268476029520506
"GO:0016779"	126	3	2	20.5015717588032	3.53297250344493e-05
"GO:0050896"	126	3	2	12.9519247297789	0.00154001616649228
"GO:0044281"	126	3	2	15.894987844363	0.000353547071816459
"GO:0016874"	126	3	2	10.6575378800229	0.00485003702514471
"GO:0006950"	126	3	2	12.4495198300173	0.00197979907834377
"GO:0006399"	126	3	2	10.659391003151	0.00484554524852814
"GO:0140101"	126	3	2	9.18197393669195	0.0101428427668904
"GO:0043168"	126	3	2	13.8783673471858	0.000969060343912594
"GO:0006259"	126	3	2	15.2053796923604	0.000499107104893042
"GO:0051716"	126	3	2	13.0775218442345	0.00144627944210139
"GO:0033554"	126	3	2	12.3831423246908	0.00204660867139343
"GO:0003723"	126	3	2	11.4309223369434	0.00329463079140866
"GO:0006793"	126	3	2	22.8064644449879	1.11593569627783e-05
"GO:0043169"	126	3	2	15.1977543843805	0.000501013659795485
"GO:0005975"	126	3	2	18.6699109709764	8.82836629091971e-05
"GO:0006796"	126	3	2	22.651925022991	1.20558262157556e-05
"GO:0006974"	126	3	2	12.842027970415	0.00162700563843963
"GO:0051179"	126	3	2	25.1240087109757	3.50260228586746e-06
"GO:0051234"	126	3	2	25.0272231684379	3.67627118577235e-06
"GO:0006810"	126	3	2	24.1467555499984	5.70950758682016e-06
"GO:0004553"	126	3	2	9.35754918446111	0.00929039143241725
"GO:0046872"	126	3	2	15.0286927785804	0.000545206252853801
"GO:0019538"	126	3	2	13.697492294957	0.00106078492725734
"GO:0043414"	126	3	2	9.5665280166505	0.00836863903278059
"GO:0009451"	126	3	2	10.553845077185	0.00510812669130746
"GO:0008757"	126	3	2	8.86223608550673	0.0119011762078493
"GO:0001510"	126	3	2	9.60221746393197	0.00822062752188465
"GO:0008173"	126	3	2	8.63006104279647	0.0133661415265738
"GO:0140102"	126	3	2	7.7786246866136	0.0204594102521068
"GO:0008649"	126	3	2	7.7786246866136	0.0204594102521068
"GO:0090305"	126	3	2	9.47093509370008	0.0087783435852463
"GO:0006281"	126	3	2	11.1937288320279	0.00370947687623888
"GO:0004519"	126	3	2	7.82972310509331	0.0199433095549441
"GO:0018130"	126	3	2	18.9290429605105	7.75551330559782e-05
"GO:1901362"	126	3	2	18.1640242163813	0.000113692615313075
"GO:0019438"	126	3	2	16.4617120162347	0.000266308270614734
"GO:0034654"	126	3	2	19.2949645531537	6.45879771596247e-05
"GO:0019637"	126	3	2	15.8768862643833	0.000356761476623641
"GO:0055086"	126	3	2	15.8800965743254	0.000356189278522124
"GO:0090407"	126	3	2	18.8758559739247	7.96452637253663e-05
"GO:0006753"	126	3	2	16.258743143604	0.000294753373947345
"GO:0009117"	126	3	2	16.1014365563135	0.000318872800836888
"GO:1901293"	126	3	2	16.6517535519624	0.000242168504147325
"GO:0009165"	126	3	2	16.5976316314628	0.000248811291140526
"GO:0072521"	126	3	2	10.8683253968799	0.00436488821924026
"GO:0072522"	126	3	2	11.2082346542673	0.00368266970269364
"GO:0006163"	126	3	2	10.4122732548415	0.00548281498005138
"GO:0006164"	126	3	2	11.1304772894308	0.00382866674512664
"GO:0006082"	126	3	2	11.7218268516917	0.00284864047210793
"GO:0043436"	126	3	2	11.7603860916022	0.00279424580554736
"GO:0019752"	126	3	2	11.798944813964	0.00274089051206321
"GO:0006520"	126	3	2	10.5484481147818	0.00512192949008009
"GO:0004812"	126	3	2	9.58078458906414	0.0083091970898833
"GO:0016875"	126	3	2	9.58078458906414	0.0083091970898833
