"obs.tot"	"obs.groups"	"df.between"	"df.within"	"statistic"	"pvalue"
"GO:0006518"	126	3	2	59.6905887600704	3.34966390553924	0.0418079633883441
"GO:0031167"	126	3	2	81.9465280900974	1.23466713158939	0.29628596948728
"GO:0000154"	126	3	2	81.7636169317034	1.32140363566834	0.272396274520233
"GO:0043043"	126	3	2	59.6407930688029	3.30986904627016	0.0433375992845871
"GO:0006412"	126	3	2	59.586000206462	3.24156751090024	0.0460949337184878
"GO:0016830"	126	3	2	63.0464578878219	7.43597156335443	0.00126041688119208
"GO:0006766"	126	3	2	62.888995207309	7.21412756477088	0.00151138011491877
"GO:0006767"	126	3	2	62.8888293103604	7.21441317732262	0.00151103154086872
"GO:0009110"	126	3	2	62.8836159499344	7.20571374252247	0.0015218416047606
"GO:0042364"	126	3	2	62.8836322085548	7.20572586617407	0.00152182634840123
"GO:0042726"	126	3	2	62.8405578671538	7.09513494981703	0.0016660058051247
"GO:0042727"	126	3	2	62.8405559805988	7.0951532829101	0.00166598091924822
"GO:0006771"	126	3	2	62.8366224266123	7.09123646246733	0.00167137665885306
"GO:0009231"	126	3	2	62.8366224266123	7.09123646246733	0.00167137665885306
"GO:0008686"	126	3	2	62.8267050908474	7.07692677774599	0.00169116934226545
"GO:0055085"	126	3	2	61.6134590318919	5.41497336028499	0.0068166358614874
"GO:0030554"	126	3	2	59.7508364747503	4.02303144613024	0.022954085861555
"GO:0032559"	126	3	2	59.7098832690182	4.00619690482308	0.0233008980690497
"GO:0005524"	126	3	2	59.6853340399106	3.97703470471603	0.023910245895936
"GO:0005515"	126	3	2	59.5459488290882	2.89486653686616	0.0631251576774649
"GO:0016051"	126	3	2	62.3446860877849	6.38362309724697	0.00300511821863728
"GO:0005976"	126	3	2	62.3618683577408	6.37083433273373	0.0030367685611832
"GO:0044264"	126	3	2	62.4547089255557	6.37401404962022	0.00302647751812238
"GO:0000271"	126	3	2	62.4185349472002	6.35103410140368	0.00308570936979026
"GO:0034637"	126	3	2	62.487865982542	6.36070376441051	0.00305930385844156
"GO:0033692"	126	3	2	62.4858445918913	6.35488929466064	0.00307417028667284
"GO:0008879"	126	3	2	62.4667029633313	6.22587488478386	0.00342320186833763
"GO:0045226"	126	3	2	62.4625869555971	6.24810107377143	0.00336047372621205
"GO:0046379"	126	3	2	62.4625882483657	6.24810161767598	0.00336047216911715
"GO:0005215"	126	3	2	61.0169599722766	6.2289745637475	0.00345395581507362
"GO:0005198"	126	3	2	58.3087301303857	5.70826722294741	0.00544466915944404
"GO:0003735"	126	3	2	58.4732364133501	5.60355327111321	0.00593662345261966
"GO:1901135"	126	3	2	59.203781181996	1.79347789832103	0.175301683983914
"GO:1901137"	126	3	2	61.0220331838107	1.3295570949429	0.272149565217493
"GO:0019693"	126	3	2	58.6209610512474	1.77188840846567	0.178995240455132
"GO:0009259"	126	3	2	58.6522204337643	1.77075885614892	0.179181281206646
"GO:0046390"	126	3	2	61.107635551976	1.58547975635396	0.21315977182657
"GO:0009260"	126	3	2	61.2638620280512	1.58621127055099	0.212990684050404
"GO:0009150"	126	3	2	59.0484102176686	1.77161064438495	0.178977967040444
"GO:0009152"	126	3	2	63.4591528839818	1.59316089425369	0.211304621306348
"GO:1901657"	126	3	2	68.913745454021	1.62746664308161	0.203884564693411
"GO:0009116"	126	3	2	68.9868701035935	1.60802981615837	0.207697302769576
"GO:0034404"	126	3	2	78.8890326359474	1.44178177219579	0.242669058935998
"GO:0009119"	126	3	2	76.4943716149863	1.57409323149982	0.21383215843467
"GO:1901659"	126	3	2	81.3147257852465	1.36758328826917	0.260517345151789
"GO:0009163"	126	3	2	81.3428878689626	1.34685942489385	0.265792640322961
"GO:0042455"	126	3	2	81.435987807861	1.35230806189746	0.264388128991482
"GO:1901068"	126	3	2	80.7331337581023	1.54336852985547	0.219897180578182
"GO:0042278"	126	3	2	78.9963743219317	1.58169661598434	0.212068038773903
"GO:0046128"	126	3	2	79.229936949507	1.58092902666484	0.212205828021099
"GO:0042451"	126	3	2	81.9447675366268	1.28654141012724	0.281744205223338
"GO:0046129"	126	3	2	81.9447675366268	1.28654141012724	0.281744205223338
"GO:1901070"	126	3	2	81.9645972154733	1.18016855445454	0.31239239119048
